Country,GDP_growth,GDP_per_capita,Inflation,Unemployment,Debt,Deficit,Current_account
Kyrgyz Republic,4.446,1921.514,6.687,9.014,47.216,-1.363,-9.467
Lao P.D.R.,3.969,1976.483,21.5,,115.523,-1.417,1.731
Latvia,1.659,24193.744,1.954,6.452,43.163,-2.972,-3.81
Lebanon,-10.0,3283.414,171.195,,283.195,-6.133,-36.081
Lesotho,2.378,1107.084,6.384,,63.206,2.75,-1.125
Liberia,5.277,854.852,6.344,,56.51,-4.973,-24.839
Libya,7.832,6975.33,2.863,,,5.215,20.384
Lithuania,2.209,28407.196,1.46,6.3,36.172,-2.596,1.258
Luxembourg,1.262,131384.164,2.539,5.993,27.969,-2.058,7.381
Macao SAR,13.939,78962.24,1.7,2.0,0.0,1.955,32.493
Madagascar,4.5,538.176,7.789,,56.139,-3.789,-4.77
Malawi,3.3,480.727,27.892,,74.943,-6.576,-7.132
Malaysia,4.421,13314.84,2.793,3.525,66.429,-3.482,2.372
Maldives,5.17,17817.78,3.777,,121.135,-12.178,-19.357
Mali,4.0,898.817,1.0,,55.126,-4.2,-5.144
Malta,5.041,41738.084,2.861,2.5,53.57,-4.369,2.511
Marshall Islands,3.0,6710.545,4.25,,17.282,-0.82,6.244
Mauritania,5.052,2346.945,2.785,,48.48,-1.675,-11.663
Mauritius,4.861,12973.298,4.901,6.27,80.952,-3.698,-5.304
Mexico,2.367,15248.788,4.02,2.798,55.55,-5.9,-0.761
Micronesia,1.052,5119.566,4.018,,10.649,1.266,0.774
Moldova,2.6,7488.443,5.0,3.498,37.322,-4.721,-11.484
Mongolia,6.536,6181.886,9.747,5.427,47.91,0.008,-7.541
Montenegro,3.742,12645.548,4.164,,62.306,-3.228,-12.364
Morocco,3.145,4077.525,2.158,11.995,70.384,-4.288,-2.631
Mozambique,4.974,659.095,4.439,,96.912,-3.327,-38.659
Myanmar,1.501,1247.676,15.0,,58.473,-5.788,-6.28
Namibia,2.65,4745.256,4.811,,65.408,-2.139,-7.186
Nauru,1.576,12362.25,4.709,,23.379,13.736,4.871
Nepal,3.104,1397.08,6.312,,42.952,-4.862,1.455
